,num_cars,max_speed,s0,t_reaction,max_stopped,max_in_jam,recovery_time,total_energy,time_lost,max_gap_pressure
num_cars,1.0,-4.186712021146808e-16,-0.2411329976117779,-0.24113299761177795,0.752627234970095,0.8448116243725001,,-0.0359486000915215,,0.8247375802487016
max_speed,-4.186712021146808e-16,1.0,-0.7905694150420948,-0.7905694150420949,-2.5746112102895845e-17,0.3738335897094198,,0.21089699537346998,,-0.1267703085464709
s0,-0.2411329976117779,-0.7905694150420948,1.0,1.0000000000000002,-0.16666666666666674,-0.31524416249564025,,-0.3229423235952162,,0.21046353021180755
t_reaction,-0.24113299761177795,-0.7905694150420949,1.0000000000000002,1.0,-0.16666666666666674,-0.3152441624956402,,-0.32294232359521613,,0.2104635302118075
max_stopped,0.752627234970095,-2.5746112102895845e-17,-0.16666666666666674,-0.16666666666666674,1.0,0.7092993656151905,,0.046750610443158466,,0.6080057539452225
max_in_jam,0.8448116243725001,0.3738335897094198,-0.31524416249564025,-0.3152441624956402,0.7092993656151905,1.0,,-0.08302564606544291,,0.826183091501216
recovery_time,,,,,,,,,,
total_energy,-0.0359486000915215,0.21089699537346998,-0.3229423235952162,-0.32294232359521613,0.046750610443158466,-0.08302564606544291,,1.0,,-0.24229026189860456
time_lost,,,,,,,,,,
max_gap_pressure,0.8247375802487016,-0.1267703085464709,0.21046353021180755,0.2104635302118075,0.6080057539452225,0.826183091501216,,-0.24229026189860456,,1.0
