scenario,num_cars,max_speed,type,recovery_time,max_stopped,max_in_jam,total_energy
HighSpeed_N30_V30_D12,30,30,High Speed,1,1,5,338.4
Safe_N30_V20_S4_T15,30,20,Conservative,1,1,3,53.0
Base_N35_V25_D10,35,25,Baseline,1,1,4,167.7
Extreme_Dense_N40_V25_D15,40,25,Extreme,1,2,6,305.5
Base_N30_V25_D10,30,25,Baseline,1,1,3,119.1
HighSpeed_N25_V30_D12,25,30,High Speed,1,1,3,193.8
Base_N25_V25_D10,25,25,Baseline,1,1,2,86.0
Extreme_HardBrake_N30_V25_D18,30,25,Extreme,1,1,3,82.3
Safe_N25_V20_S4_T15,25,20,Conservative,1,1,2,38.4
VISUAL_Demo_N27_V25,27,25,Demo,1,1,2,1207.3
