segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,WARMING_UP,25,2,6,21,2.42,1.5,2.49,1.0,2.49,1.5,0,0,0,27,80.54,87.57,88.63
2,WARMING_UP,25,2,6,21,4.79,2.98,4.94,1.97,4.93,2.98,0,0,0,27,79.01,87.57,90.16
3,WARMING_UP,25,2,6,21,7.07,4.43,7.32,2.89,7.29,4.43,0,0,0,27,76.55,87.57,92.6
4,WARMING_UP,25,2,6,21,9.24,5.85,9.59,3.74,9.51,5.85,0,0,0,27,73.24,87.57,95.9
5,WARMING_UP,25,2,6,21,11.27,7.23,11.73,4.5,11.59,7.23,0,0,0,27,69.21,87.57,99.93
6,WARMING_UP,25,2,6,21,13.12,8.54,13.72,5.17,13.49,8.54,0,0,0,27,64.63,87.57,104.6
7,WARMING_UP,25,2,6,21,14.8,9.8,15.54,5.74,15.2,9.8,0,0,0,27,59.7,87.57,109.77
8,WARMING_UP,25,2,6,21,16.29,10.98,17.19,6.21,16.72,10.98,0,0,0,27,54.64,87.57,115.33
9,WARMING_UP,25,2,6,21,17.6,12.09,18.68,6.59,18.04,12.09,0,0,0,27,49.69,87.57,121.18
10,NORMAL,25,2,6,21,18.74,13.12,19.99,6.87,19.19,13.12,0,0,0,26,45.08,87.57,127.2
11,DISTURBANCE,25,2,6,21,19.21,7.99,21.05,13.06,19.62,14.07,0,1,0,23,40.99,87.57,133.32
12,DISTURBANCE,25,2,6,21,19.64,0.0,22.02,22.02,20.01,14.95,0,2,1,23,37.54,87.57,139.45
13,DISTURBANCE,25,2,6,21,20.19,0.0,22.85,22.85,20.55,15.76,0,2,1,20,34.78,87.57,145.55
14,DISTURBANCE,25,2,6,21,20.61,0.0,23.55,23.55,20.94,16.49,0,2,1,20,32.69,87.57,160.17
15,DISTURBANCE,25,2,6,21,20.9,0.0,24.14,24.14,21.2,17.15,0,2,1,5,21.38,87.57,184.06
16,RECOVERING,25,2,6,21,21.19,2.49,24.62,22.13,21.47,17.75,0,2,0,3,13.5,87.57,207.09
17,RECOVERING,25,2,6,21,21.44,4.96,25.02,20.06,21.69,18.29,0,1,0,3,10.18,87.57,228.09
18,RECOVERING,25,2,6,21,21.66,6.49,25.34,18.85,21.89,18.77,0,1,0,1,10.02,87.57,247.0
19,RECOVERING,25,2,6,21,21.87,7.34,25.59,18.25,22.08,19.21,0,1,0,2,11.75,87.57,263.85
20,RECOVERING,25,2,6,21,22.06,8.73,25.79,17.07,22.26,19.59,0,2,0,2,14.54,87.57,278.69
