segundo,estado,num_cars,max_speed,avg_velocity,min_velocity,max_velocity,v_diff,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
1,ESTABILIZANDO,20,20.0,1.25,1.25,1.25,0.0,0,0,0,20,120.66,120.66,120.66
2,ESTABILIZANDO,20,20.0,2.5,2.5,2.5,0.0,0,0,0,20,120.66,120.66,120.66
3,ESTABILIZANDO,20,20.0,3.75,3.75,3.75,0.0,0,0,0,20,120.66,120.66,120.66
4,ESTABILIZANDO,20,20.0,5.0,5.0,5.0,0.0,0,0,0,20,120.66,120.66,120.66
5,ESTABILIZANDO,20,20.0,6.25,6.25,6.25,0.0,0,0,0,20,120.66,120.66,120.66
6,ESTABILIZANDO,20,20.0,7.5,7.5,7.5,0.0,0,0,0,20,120.66,120.66,120.66
7,FLUJO_SINCRO,20,20.0,9.53,9.53,9.53,0.0,0,0,0,20,120.66,120.66,120.66
8,FLUJO_SINCRO,20,20.0,11.33,11.33,11.33,0.0,0,0,0,20,120.66,120.66,120.66
9,FLUJO_SINCRO,20,20.0,12.89,12.89,12.89,0.0,0,0,0,20,120.66,120.66,120.66
10,FLUJO_SINCRO,20,20.0,14.2,14.2,14.2,0.0,0,0,0,20,120.66,120.66,120.66
11,FRENADA_ORIGEN,20,20.0,14.64,2.2,15.3,13.1,0,1,0,19,113.48,120.66,127.88
12,FRENADA_ORIGEN,20,20.0,15.36,0.0,16.2,16.2,0,0,1,18,98.15,120.66,143.59
13,FRENADA_ORIGEN,20,20.0,16.01,0.0,16.92,16.92,0,0,1,18,82.51,120.66,160.2
14,FRENADA_ORIGEN,20,20.0,16.52,0.0,17.51,17.51,0,0,1,17,66.99,120.66,177.46
15,FRENADA_ORIGEN,20,20.0,16.9,0.0,17.97,17.97,0,0,1,0,52.02,120.66,195.23
16,DISOLVIENDO,20,20.0,17.3,2.49,18.34,15.85,0,1,0,1,39.37,120.66,212.05
17,DISOLVIENDO,20,20.0,17.63,4.9,18.63,13.73,0,0,0,1,30.19,120.66,226.73
18,DISOLVIENDO,20,20.0,17.9,7.18,18.86,11.68,0,0,0,1,24.21,120.66,239.32
19,DISOLVIENDO,20,20.0,18.14,9.26,19.04,9.77,17,0,0,1,20.95,120.66,249.94
20,DISOLVIENDO,20,20.0,18.35,11.12,19.18,8.05,17,0,0,1,19.77,120.66,258.75
21,DISOLVIENDO,20,20.0,18.53,11.95,19.29,7.33,17,0,0,2,20.06,120.66,265.96
22,DISOLVIENDO,20,20.0,18.7,12.58,19.37,6.79,17,0,0,2,21.3,120.66,271.77
23,DISOLVIENDO,20,20.0,18.84,13.3,19.43,6.14,17,0,0,2,23.1,120.66,276.41
24,DISOLVIENDO,20,20.0,18.96,14.02,19.49,5.46,17,0,0,2,25.22,120.66,280.05
25,DISOLVIENDO,20,20.0,19.07,14.71,19.52,4.81,17,0,0,2,27.48,120.66,282.9
26,DISOLVIENDO,20,20.0,19.15,15.34,19.56,4.22,17,0,0,2,29.77,120.66,285.08
27,DISOLVIENDO,20,20.0,19.22,15.88,19.58,3.7,17,0,0,1,32.04,120.66,286.74
28,DISOLVIENDO,20,20.0,19.28,16.36,19.6,3.24,17,0,0,0,34.24,120.66,287.98
29,DISOLVIENDO,20,20.0,19.33,16.76,19.61,2.85,17,0,0,0,36.35,120.66,288.89
30,DISOLVIENDO,20,20.0,19.37,17.1,19.62,2.52,18,0,0,0,38.37,120.66,289.53
31,DISOLVIENDO,20,20.0,19.4,17.39,19.63,2.24,18,0,0,0,40.29,120.66,289.97
32,DISOLVIENDO,20,20.0,19.43,17.63,19.64,2.0,18,0,0,0,42.11,120.66,290.25
33,RECUPERADO,20,20.0,19.45,17.84,19.64,1.8,18,0,0,0,43.85,120.66,290.41
34,RECUPERADO,20,20.0,19.47,18.01,19.65,1.64,18,0,0,0,45.5,120.66,290.47
35,RECUPERADO,20,20.0,19.48,18.11,19.7,1.59,18,0,0,0,47.07,120.66,290.45
36,RECUPERADO,20,20.0,19.5,18.15,19.75,1.6,18,0,0,0,48.57,120.66,290.38
37,RECUPERADO,20,20.0,19.51,18.19,19.79,1.6,18,0,0,0,50.01,120.66,290.26
