nombre,num_cars,max_speed,density,t_dissolve,max_stopped,jam_perpetuo
Homo_N20_V20,20,20.0,7.96,32,1,0
Homo_N20_V25,20,25.0,7.96,59,1,0
Homo_N20_V30,20,30.0,7.96,119,1,0
Homo_N20_V35,20,35.0,7.96,213,1,0
Homo_N25_V20,25,20.0,9.95,41,1,0
Homo_N25_V25,25,25.0,9.95,95,1,0
Homo_N25_V30,25,30.0,9.95,185,1,0
Homo_N25_V35,25,35.0,9.95,280,1,0
Homo_N27_V20,27,20.0,10.74,50,1,0
Homo_N27_V25,27,25.0,10.74,115,1,0
Homo_N27_V30,27,30.0,10.74,211,1,0
Homo_N27_V35,27,35.0,10.74,296,1,0
Homo_N30_V20,30,20.0,11.94,60,1,0
Homo_N30_V25,30,25.0,11.94,146,1,0
Homo_N30_V30,30,30.0,11.94,251,1,0
Homo_N30_V35,30,35.0,11.94,,1,0
Homo_N35_V20,35,20.0,13.93,87,1,0
Homo_N35_V25,35,25.0,13.93,185,1,0
Homo_N35_V30,35,30.0,13.93,,1,0
Homo_N35_V35,35,35.0,13.93,,1,0
