scenario,max_in_jam,max_stopped,max_gap_pressure,max_v_diff,min_velocity,avg_velocity_before,avg_velocity_during,velocity_drop,total_energy,total_time_lost,min_efficiency,flow_before,flow_during,flow_drop_pct,recovery_time,study,param_value
Disturbance_D12,9,3,0.45,23.61,0.0,23.022222222222226,21.515555555555554,1.5066666666666713,417.6,3.5,91.1,1319.0,1232.7777777777778,6.536938758318588,126.0,Disturbance,12
Density_N45,21,1,0.66,21.71,0.0,21.595555555555556,20.566666666666663,1.0288888888888934,274.8,2.0,95.9,1856.0,1767.5555555555557,4.765325670498079,258.0,Density,45
Density_N40,9,1,0.59,22.44,0.0,22.14111111111111,21.14,1.0011111111111077,246.8,0.3,98.4,1691.5555555555557,1615.111111111111,4.5191802417236016,158.0,Density,40
Density_N25,4,1,0.38,24.05,0.0,23.35666666666667,22.15,1.2066666666666706,151.0,0.0,102.4,1115.2222222222222,1057.5555555555557,5.17086778918002,47.0,Density,25
Disturbance_D10,9,3,0.45,23.61,0.0,23.022222222222226,21.582222222222224,1.4400000000000013,414.3,3.3,91.6,1319.0,1236.3333333333333,6.267374273439481,121.0,Disturbance,10
Density_N35,9,1,0.52,23.07,0.0,22.617777777777775,21.293333333333333,1.3244444444444419,403.1,1.4,96.0,1511.888888888889,1423.111111111111,5.871977658558098,154.0,Density,35
Behavior_Aggressive,4,3,0.37,24.61,0.0,23.395555555555557,22.022222222222226,1.3733333333333313,456.0,3.4,92.6,1340.3333333333333,1261.7777777777778,5.860896957639053,69.0,Behavior,1
Disturbance_D08,8,3,0.45,23.61,0.0,23.022222222222226,21.672222222222224,1.3500000000000014,404.7,2.9,92.2,1319.0,1241.6666666666667,5.863027546120793,119.0,Disturbance,8
Density_N30,6,1,0.45,23.61,0.0,23.022222222222226,21.741111111111113,1.2811111111111124,252.6,0.1,99.3,1319.0,1245.7777777777778,5.551343610479315,75.0,Density,30
Disturbance_D15,9,3,0.45,23.61,0.0,23.022222222222226,21.464444444444446,1.5577777777777797,423.9,3.8,90.8,1319.0,1229.888888888889,6.755959902282873,126.0,Disturbance,15
Density_N50,50,1,0.72,20.9,0.0,20.985555555555557,19.86777777777778,1.1177777777777784,344.9,10.9,92.7,2003.888888888889,1897.3333333333333,5.317438314388694,287.0,Density,50
Behavior_Conservative,20,3,0.64,21.94,0.0,21.763333333333332,19.945555555555558,1.8177777777777742,556.5,17.0,85.6,1246.888888888889,1142.7777777777778,8.3496702905008,,Behavior,3
Behavior_Normal,9,3,0.45,23.61,0.0,23.022222222222226,21.515555555555554,1.5066666666666713,417.6,3.5,91.1,1319.0,1232.7777777777778,6.536938758318588,126.0,Behavior,2
Disturbance_D18,9,3,0.45,23.61,0.0,23.022222222222226,21.433333333333334,1.5888888888888921,427.2,4.0,90.6,1319.0,1227.888888888889,6.907589925027376,127.0,Disturbance,18
