scenario,phase,density,flow,velocity,num_cars,type
Safe_N40_V20_S4_T15,Before,15.919999999999998,1032.3,18.012999999999998,40,Conservative
Safe_N40_V20_S4_T15,During,15.919999999999998,990.2727272727273,17.284545454545455,40,Conservative
Safe_N40_V20_S4_T15,After,15.919999999999998,1028.6363636363637,17.95636363636364,40,Conservative
HighSpeed_N35_V30_D15,Before,13.930000000000001,1401.0,27.946000000000005,35,High Speed
HighSpeed_N35_V30_D15,During,13.930000000000001,1391.4545454545455,27.755454545454544,35,High Speed
HighSpeed_N35_V30_D15,After,13.930000000000001,1444.1818181818182,28.80636363636364,35,High Speed
DEBUG_Dense_N45_V25_D18,Before,17.9,1430.3,22.190000000000005,45,Debug
DEBUG_Dense_N45_V25_D18,During,17.900000000000002,1316.090909090909,20.418181818181818,45,Debug
DEBUG_Dense_N45_V25_D18,After,17.900000000000002,1366.5454545454545,21.201818181818183,45,Debug
Base_N35_V25_D12,Before,13.930000000000001,1170.3,23.340999999999998,35,Baseline
Base_N35_V25_D12,During,13.930000000000001,1122.0,22.37909090909091,35,Baseline
Base_N35_V25_D12,After,13.930000000000001,1182.090909090909,23.58,35,Baseline
DEBUG_VeryDense_N50_V25_D15,Before,19.889999999999997,1470.4,20.533,50,Debug
DEBUG_VeryDense_N50_V25_D15,During,19.889999999999997,1340.090909090909,18.71272727272727,50,Debug
DEBUG_VeryDense_N50_V25_D15,After,19.889999999999997,1373.6363636363637,19.17818181818182,50,Debug
Base_N40_V25_D12,Before,15.919999999999998,1322.1,23.076,40,Baseline
Base_N40_V25_D12,During,15.919999999999998,1255.2727272727273,21.908181818181816,40,Baseline
Base_N40_V25_D12,After,15.919999999999998,1325.1818181818182,23.12909090909091,40,Baseline
VISUAL_Demo_N40_V25_D15,Before,15.919999999999998,1295.9,22.619,40,Demo
VISUAL_Demo_N40_V25_D15,During,15.919999999999998,1211.0,21.136363636363637,40,Demo
VISUAL_Demo_N40_V25_D15,After,15.919999999999998,1276.0,22.272727272727273,40,Demo
